CTYNAME,Pop,GrowthRate
Philadelphia County,1584138,3.6541
Allegheny County,1218452,-0.4508
Montgomery County,828604,3.4582
Bucks County,628195,0.4461
Delaware County,564751,1.0321
Lancaster County,543557,4.4655
Chester County,522046,4.4251
York County,448273,2.9559
Berks County,420152,1.9725
Lehigh County,368100,5.1222
Westmoreland County,350611,-3.9806
Luzerne County,317646,-1.0412
Northampton County,304807,2.3138
Dauphin County,277097,3.2896
Erie County,272061,-3.1111
Cumberland County,251423,6.5794
Lackawanna County,210793,-1.741
Washington County,207346,-0.2804
Butler County,187888,2.062
Monroe County,169507,-0.1978
Beaver County,164742,-3.4598
Centre County,162805,5.5681
Franklin County,154835,3.2819
Schuylkill County,142067,-4.1933
Lebanon County,141314,5.7399
Cambria County,131730,-8.1701
Fayette County,130441,-4.3954
Blair County,122492,-3.5823
Lycoming County,113664,-2.2111
Mercer County,110683,-5.0844
Adams County,102811,1.3186
Northumberland County,91083,-3.4125
Lawrence County,86184,-5.2954
Crawford County,85063,-4.0062
Indiana County,84501,-4.9108
Clearfield County,79388,-2.6547
Somerset County,73952,-4.9008
Columbia County,65456,-2.8266
Armstrong County,65263,-5.2305
Carbon County,64227,-1.5754
Bradford County,60833,-3.0333
Pike County,55933,-2.4997
Wayne County,51276,-2.9746
Venango County,51266,-6.7484
Bedford County,48176,-3.0391
Mifflin County,46222,-0.8941
Perry County,46139,0.4594
Huntingdon County,45168,-1.8151
Union County,44785,-0.4778
Jefferson County,43641,-3.3679
McKean County,40968,-5.4795
Tioga County,40763,-2.8805
Susquehanna County,40589,-6.354
Snyder County,40540,2.0979
Warren County,39498,-5.4416
Clarion County,38779,-2.885
Clinton County,38684,-1.442
Greene County,36506,-5.4543
Elk County,30169,-5.3106
Wyoming County,27046,-4.2314
Juniata County,24704,0.3208
Montour County,18240,-0.3388
Potter County,16622,-4.7777
Fulton County,14523,-2.281
Forest County,7279,-5.5534
Sullivan County,6071,-5.2443
Cameron County,4492,-11.6096
