,Store,Department,RMSE,Accuracy
0,1,1,7734.1,0.62
1,1,2,2198.34,0.9526
2,1,3,6342.62,0.5807
3,1,4,3439.23,0.9097
4,1,5,4085.52,0.7972
5,1,6,2204.49,0.394
6,1,7,3936.07,0.8148
7,1,8,2766.32,0.9278
8,1,9,4969.23,0.844
9,1,10,3624.21,0.8863
10,1,11,6007.51,0.765
11,1,12,1416.91,0.8716
12,1,13,3869.31,0.9041
13,1,14,2022.57,0.8531
14,1,16,5315.59,0.822
15,1,17,856.08,0.8931
16,1,18,error,error
17,1,19,399.21,0.6445
18,1,20,error,error
19,1,21,1123.33,0.8465
20,1,22,1188.99,0.8283
21,1,23,3071.02,0.8523
22,1,24,2159.02,0.6508
23,1,25,1179.64,0.885
24,1,26,1551.69,0.7492
25,1,27,229.61,0.8023
26,1,28,103.8,0.758
27,1,29,1175.0,0.6938
28,1,30,497.14,0.8358
29,1,31,1026.66,0.5253
30,1,32,2356.83,0.6411
31,1,33,2052.74,0.6611
32,1,34,1705.3,0.8627
33,1,35,552.81,0.7587
34,1,36,4631.82,-1.8379
35,1,37,error,error
36,1,38,10342.61,0.864
37,1,40,3967.35,0.932
38,1,41,278.22,0.6187
39,1,42,998.53,0.875
40,1,44,error,error
41,1,45,error,error
42,1,46,1417.13,0.9263
43,1,47,error,error
44,1,48,error,error
45,1,49,2061.16,0.8054
46,1,51,error,error
47,1,52,516.46,0.7401
48,1,54,error,error
49,1,55,1317.54,0.8603
50,1,56,1371.07,0.6681
51,1,58,6949.32,-1.1438
52,1,59,910.13,-4.1211
53,1,60,154.4,0.8363
54,1,67,3087.61,0.5798
55,1,71,1300.3,0.4642
56,1,72,13758.31,0.6648
57,1,74,1363.02,0.8822
58,1,77,error,error
59,1,78,error,error
60,1,79,error,error
61,1,80,6573.77,0.665
62,1,81,1450.27,0.9538
63,1,82,1483.63,0.9262
64,1,83,1263.63,0.7874
65,1,85,780.2,0.759
66,1,87,28436.6,0.4506
67,1,90,4668.1,0.9467
68,1,91,3488.94,0.9479
69,1,92,error,error
70,1,93,error,error
71,1,94,6937.1,0.8924
72,1,95,6321.19,0.951
73,1,96,error,error
74,1,97,12466.35,0.6624
75,1,98,1326.39,0.8892
76,1,99,error,error
77,1,39,error,error
78,1,50,error,error
79,1,43,error,error
80,1,65,error,error
81,2,1,12557.62,0.5637
82,2,2,error,error
83,2,3,6865.43,0.6473
84,2,4,2453.39,0.9464
85,2,5,9886.04,0.5724
86,2,6,error,error
87,2,7,6071.18,0.831
88,2,8,4772.42,0.9209
89,2,9,4418.14,0.8802
90,2,10,3801.32,0.9026
