,Store,Department,Periods Available,Additive Model RSME,Additive Model Accuracy,Multiplicative Model RMSE,Mulitplicative Model Accuracy,Additive vs. Multiplicative
0,1,1,143,9639.1,0.5264,7734.1,0.62,Multiplicative
1,1,2,143,2819.1,0.9392,2198.34,0.9526,Multiplicative
2,1,3,143,6211.87,0.5893,6342.62,0.5807,Additive
3,1,4,143,3171.08,0.9167,3439.23,0.9097,Additive
4,1,5,143,5053.44,0.7492,4085.52,0.7972,Multiplicative
5,1,6,143,1344.44,0.6304,2204.49,0.394,Additive
6,1,7,143,8699.27,0.5906,3936.07,0.8148,Multiplicative
7,1,8,143,3049.58,0.9205,2766.32,0.9278,Multiplicative
8,1,9,143,5053.22,0.8413,4969.23,0.844,Multiplicative
9,1,10,143,4507.61,0.8586,3624.21,0.8863,Multiplicative
10,1,11,143,5250.91,0.7946,6007.51,0.765,Additive
11,1,12,143,1369.65,0.8759,1416.91,0.8716,Additive
12,1,13,143,2256.97,0.9441,3869.31,0.9041,Additive
13,1,14,143,2080.33,0.8489,2022.57,0.8531,Multiplicative
14,1,16,143,10940.9,0.6336,5315.59,0.822,Multiplicative
15,1,17,143,1039.01,0.8703,856.08,0.8931,Multiplicative
16,1,18,113,error,error,error,error,error
17,1,19,143,397.91,0.6457,399.21,0.6445,Additive
18,1,20,143,error,error,error,error,error
19,1,21,143,1283.31,0.8247,1123.33,0.8465,Multiplicative
20,1,22,143,1412.05,0.796,1188.99,0.8283,Multiplicative
21,1,23,143,2943.04,0.8584,3071.02,0.8523,Additive
22,1,24,143,1946.9,0.6851,2159.02,0.6508,Additive
23,1,25,143,1111.68,0.8916,1179.64,0.885,Additive
24,1,26,143,1546.74,0.75,1551.69,0.7492,Additive
25,1,27,143,210.59,0.8187,229.61,0.8023,Additive
26,1,28,143,100.88,0.7649,103.8,0.758,Additive
27,1,29,143,558.18,0.8545,1175.0,0.6938,Additive
28,1,30,143,515.28,0.8298,497.14,0.8358,Multiplicative
29,1,31,143,1181.48,0.4537,1026.66,0.5253,Multiplicative
30,1,32,143,1875.0,0.7145,2356.83,0.6411,Additive
31,1,33,143,1914.54,0.684,2052.74,0.6611,Additive
32,1,34,143,1510.35,0.8784,1705.3,0.8627,Additive
33,1,35,143,564.64,0.7535,552.81,0.7587,Multiplicative
34,1,36,143,778.26,0.5232,4631.82,-1.8379,Additive
35,1,37,143,error,error,error,error,error
36,1,38,143,12198.66,0.8396,10342.61,0.864,Multiplicative
37,1,40,143,4168.22,0.9286,3967.35,0.932,Multiplicative
38,1,41,143,806.59,-0.1056,278.22,0.6187,Multiplicative
39,1,42,143,939.9,0.8823,998.53,0.875,Additive
40,1,44,143,error,error,error,error,error
41,1,45,71,error,error,error,error,error
42,1,46,143,1161.56,0.9396,1417.13,0.9263,Additive
43,1,47,22,error,error,error,error,error
44,1,48,125,error,error,error,error,error
45,1,49,143,2054.94,0.806,2061.16,0.8054,Additive
46,1,51,33,error,error,error,error,error
47,1,52,143,666.62,0.6646,516.46,0.7401,Multiplicative
48,1,54,133,error,error,error,error,error
49,1,55,143,1310.7,0.8611,1317.54,0.8603,Additive
50,1,56,143,988.11,0.7608,1371.07,0.6681,Additive
51,1,58,143,2456.08,0.2423,6949.32,-1.1438,Additive
52,1,59,143,248.74,-0.3996,910.13,-4.1211,Additive
53,1,60,143,163.8,0.8263,154.4,0.8363,Multiplicative
54,1,67,143,2699.89,0.6326,3087.61,0.5798,Additive
55,1,71,143,890.99,0.6328,1300.3,0.4642,Additive
56,1,72,143,8115.67,0.8023,13758.31,0.6648,Additive
57,1,74,143,1555.0,0.8657,1363.02,0.8822,Multiplicative
