,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy,LM Used
0,1,1,1080.22,18644.9,0.9421,lm-2
1,1,2,1736.41,45990.56,0.9622,lm-1
2,1,3,7753.06,19128.51,0.5947,lm-1
3,1,4,1700.45,37790.96,0.955,lm-1
4,1,5,4790.95,20281.68,0.7638,lm-1
5,1,6,1330.71,3212.79,0.5858,lm-1
6,1,7,4254.65,19582.01,0.7827,lm-1
7,1,8,1664.43,37919.43,0.9561,lm-3
8,1,9,3067.92,31234.2,0.9018,lm-1
9,1,10,2840.7,30496.57,0.9069,lm-1
10,1,11,4373.11,24580.79,0.8221,lm-1
11,1,12,1259.38,10788.99,0.8833,lm-3
12,1,13,1922.44,40449.29,0.9525,lm-1
13,1,14,2388.99,13107.71,0.8177,lm-1
14,1,16,5142.46,20755.11,0.7522,lm-1
15,1,17,964.39,7986.4,0.8792,lm-2
16,1,18,1682.06,4406.02,0.6182,lm-3
17,1,19,233.97,1128.51,0.7927,lm-2
18,1,20,570.81,4077.09,0.86,lm-1
19,1,21,602.23,7169.01,0.916,lm-2
20,1,22,1204.16,6983.18,0.8276,lm-1
21,1,23,2189.95,20166.22,0.8914,lm-3
22,1,24,2898.6,7105.1,0.592,lm-1
23,1,25,1016.48,9368.3,0.8915,lm-3
24,1,26,1809.95,6160.98,0.7062,lm-3
25,1,27,333.61,1247.14,0.7325,lm-3
26,1,28,97.28,418.46,0.7675,lm-1
27,1,29,563.1,3787.15,0.8513,lm-1
28,1,30,429.07,2807.23,0.8472,lm-1
29,1,31,1400.04,2710.44,0.4835,lm-1
30,1,32,1513.18,5931.96,0.7449,lm-3
31,1,33,2510.83,6807.38,0.6312,lm-1
32,1,34,1006.77,10680.12,0.9057,lm-1
33,1,35,467.07,1910.37,0.7555,lm-3
34,1,36,559.49,1197.97,0.533,lm-1
35,1,37,299.68,2765.13,0.8916,lm-1
36,1,38,5868.55,74654.83,0.9214,lm-1
37,1,40,2943.1,57512.93,0.9488,lm-1
38,1,41,319.52,915.51,0.651,lm-1
39,1,42,879.51,7846.54,0.8879,lm-3
